source_id,country,block_id,lat,lon,is_eog_flare,eog_flare_id,chip_id,batch_order
Algeria_5371,Algeria,Algeria_b100027099966,28.529282368421054,9.124045789473685,1,s_7845,13a9ea53943a3b751605,0
Angola_87870,Angola,Angola_b100004100041,-8.014165,18.49977625,0,,c9f36e11bcfc5de83e22,0
Indonesia_71755,Indonesia,Indonesia_b100047099932,-9.80007,119.9577,0,,ddb0be43acfa9a9fbe9e,0
Iraq_24559,Iraq,Iraq_b99998100037,35.83051916666667,45.99635416666666,0,,b03761a256d01e3b8e9e,0
Libya_2393,Libya,Libya_b99938100040,32.36307,12.70424,0,,fbd5f28c7bbc7c15f3f0,0
Nigeria_60999,Nigeria,Nigeria_b99989099955,4.959601999999999,6.784736,1,s_4156a,b3175aba26fc88b1f10c,0
Algeria_13320,Algeria,Algeria_b99958100052,36.21921,1.84775,0,,5ecba9426d7474174e3b,1
Angola_500129,Angola,Angola_b100024100051,-7.1012,20.3688,0,,f11704842804f0067d06,1
Indonesia_180852,Indonesia,Indonesia_b100055100024,-1.45846,120.69787,0,,092df0a3557c768b1f87,1
Iraq_3879,Iraq,Iraq_b100011099974,30.109735333333337,47.444536,1,s_22056,58b18862e341c22c6d36,1
Libya_2174,Libya,Libya_b99941099975,26.60038,12.95141,0,,dcde0492f0eae2f397a1,1
Nigeria_52663,Nigeria,Nigeria_b99993099955,4.893827089397089,7.119981808731809,1,s_3788,c773db2a052a780b7cd4,1
Algeria_2141,Algeria,Algeria_b99988100056,36.55265,5.00921,0,,f623ac0ce59ccd890c36,2
Angola_670818,Angola,Angola_b99975099997,-11.954419999999999,15.862466000000001,0,,6857548a9bcebce6f97b,2
Indonesia_63195,Indonesia,Indonesia_b99894099983,-5.20613125,106.20992375,1,s_2592,5ad122cee1a27f12ffc3,2
Iraq_4973,Iraq,Iraq_b99988099998,32.3326,44.9151,0,,1a55d095a2488fe150d0,2
Libya_380,Libya,Libya_b100008099992,28.055836499999998,19.904057625,1,s_8164,fcf9714dfac18ade3626,2
Nigeria_221559,Nigeria,Nigeria_b99999100007,9.584065,7.6275375,0,,cdce6bad2a0f42116e38,2
Algeria_7303,Algeria,Algeria_b100013100059,36.86241333333333,7.672363333333333,0,,4b9d26c0a374270c5ee5,3
Angola_343677,Angola,Angola_b99984100022,-9.7316,16.68105,0,,c90301dde0ab5d42dd4b,3
Indonesia_95098,Indonesia,Indonesia_b99931100046,0.49763,109.54496,0,,f119255da3a0b9cc7587,3
Iraq_29660,Iraq,Iraq_b99975100042,36.274975,43.597765,0,,9036fb2ae7835a86712c,3
Libya_1686,Libya,Libya_b99921100028,31.3607125,10.964824166666666,1,s_20295,8c50ace7a435bf1c6a68,3
Nigeria_327624,Nigeria,Nigeria_b99988099976,6.786005,6.692235,0,,c7851fd6b1b4f29ae1a1,3
Algeria_11739,Algeria,Algeria_b99999100002,31.7645,6.20205,0,,b4cbf82ed2cd535d07b7,4
Angola_761099,Angola,Angola_b99992099983,-13.203054999999999,17.4066175,0,,00e70a8cca074cb1dc07,4
Indonesia_132907,Indonesia,Indonesia_b99916099969,-6.40834,108.17624,1,s_2634,c9b1723d9876bb08a8b0,4
